Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App#,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
,Complete,Special Event,Community,,Holy Family Community Street Fair,S15SE417,09/12/2015 12:00:00 AM,09/13/2015 12:00:00 AM,,West Seattle,1,Southwest,Holy Family Catholic Parish,1490
,Complete,Special Event,Mixed Free Speech,,San Gennaro Festival,S15SE125,09/11/2015 12:00:00 AM,09/13/2015 12:00:00 AM,,Georgetown,2,South,San Gennaro Foundation - Seattle,1700
,Cancelled,Special Event,Community,,West Seattle Car Show,S15SE072,09/13/2015 12:00:00 AM,09/13/2015 12:00:00 AM,,West Seattle,1,Southwest,Monumental Undertaking,2700
,Complete,Special Event,Athletic,Run/Walk,Women of Wonder 10K & 5K Run & Walk,S15SE344,09/13/2015 12:00:00 AM,09/13/2015 12:00:00 AM,Greenlake Park,Green Lake,6,North,"Pro-Motion Events, Inc.",2250
,Complete,Special Event,Free Speech,,March to Support Our Teachers,S15SE458,09/15/2015 12:00:00 AM,09/15/2015 12:00:00 AM,,Duwamish / SODO,2,South,Jennifer Monahan deMella,200
,Complete,Valet Parking,,,Red Carpet Valet - Coeterie Room,S15SE451,09/18/2015 12:00:00 AM,09/18/2015 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,20
,Complete,Valet Parking,,,Red Carpet Valet - Showbox SODO,S15SE452,09/18/2015 12:00:00 AM,09/18/2015 12:00:00 AM,,Duwamish / SODO,2,South,Red Carpet Valet,50
,Complete,Special Event,Community,,UW Husky Marching Band Pre-Game Rally (9.18),S15SE418,09/18/2015 12:00:00 AM,09/18/2015 12:00:00 AM,,UW Husky Campus,4,North,University of Washington Husky Marching Band,240
,Complete,Special Event,Community,,Fiestas Patrias Parade,S15SE346,09/19/2015 12:00:00 AM,09/19/2015 12:00:00 AM,South Park Community Center,South Park,1,Southwest,Sea Mar Community Health Centers,650
,Complete,Special Event,Community,,"Seattle Summer Parkways, Ballard",S15SE389,09/19/2015 12:00:00 AM,09/19/2015 12:00:00 AM,,Ballard,6,North,Seattle Department of Transportation,2150
,Complete,Special Event,Community,,St. Benedict Wallingford Wurst Festival,S15SE293,09/18/2015 12:00:00 AM,09/19/2015 12:00:00 AM,,Wallingford,4,North,St. Benedict Parish & School,4800
,Complete,Special Event,Community,,Sustainable Ballard Festival,S15SE416,09/19/2015 12:00:00 AM,09/19/2015 12:00:00 AM,,Ballard,6,North,Sustainable Ballard,4100
,Complete,Special Event,Commercial,,Boats Afloat Show,S15SE383,09/16/2015 12:00:00 AM,09/20/2015 12:00:00 AM,,Cascade / Eastlake / South Lake Union,3,West,Northwest Yacht Brokers Association,6350
,Complete,Special Event,Commercial,,Fremont Oktoberfest,S15SE077,09/18/2015 12:00:00 AM,09/20/2015 12:00:00 AM,,Fremont,6,North,Fremont Chamber of Commerce,16450
,Complete,Special Event,Athletic,Run/Walk,Fremont Oktoberfest 5K,S15SE078,09/20/2015 12:00:00 AM,09/20/2015 12:00:00 AM,,Fremont,6,North,Bold Hat Productions,1230
,Complete,Special Event,Community,,Mount Baker Town Center - The Design for Equity Street Festival,S15SE354,09/20/2015 12:00:00 AM,09/20/2015 12:00:00 AM,,Rainier Valley,2,South,Friends of Mount Baker Town Center,315
,Complete,Special Event,Commercial,,SEA General Membership Meeting,S15SE463,09/20/2015 12:00:00 AM,09/20/2015 12:00:00 AM,,Downtown,7,West,Benaroya Hall,2350
,Complete,Special Event,Athletic,Water,Seattle Row for the Cure 2015,S15SE396,09/20/2015 12:00:00 AM,09/20/2015 12:00:00 AM,,Multiple Neighborhoods,37,North,George Pocock Rowing Foundation,750
,Complete,Special Event,Athletic,Run/Walk,The Susan G. Komen Seattle 3-Day,S15SE327,09/18/2015 12:00:00 AM,09/20/2015 12:00:00 AM,,Queen Anne,2347,West,"The Susan G. Komen Breast Cancer Foundation, Inc. d/b/a Susan G. Komen",1300
,Complete,Special Event,Community,,Sounders FC March to the Match (9.23),S15SE398,09/23/2015 12:00:00 AM,09/23/2015 12:00:00 AM,Occidental Park,Pioneer Square,27,West,The Seattle Sounders FC,705
,Complete,Special Event,Free Speech,,Falun Dafa Association of WA Protest,S15SE466,09/22/2015 12:00:00 AM,09/24/2015 12:00:00 AM,,Downtown,7,West,Falun Dafa Association of WA,150
,Complete,Special Event,Free Speech,,"Welcome  President of PR China, Jinping Xi",S15SE456,09/22/2015 12:00:00 AM,09/24/2015 12:00:00 AM,,Downtown,7,West,Seattle Chinese Association,500
,Complete,Special Event,Community,,UW Husky Marching Band Pre-Game Rally (9.25),S15SE419,09/25/2015 12:00:00 AM,09/25/2015 12:00:00 AM,,UW Husky Campus,4,North,University of Washington Husky Marching Band,240
,Complete,Special Event,Athletic,Run/Walk,End AIDS Walk & 5K Run 2015,S15SE400,09/26/2015 12:00:00 AM,09/26/2015 12:00:00 AM,Volunteer Park,Capitol Hill,3,East,Lifelong,2650
,Cancelled,Special Event,Commercial,,Zulu Radio 10th Anniversary,S15SE386,09/26/2015 12:00:00 AM,09/26/2015 12:00:00 AM,,Downtown,7,West,Friends of Waterfront Seattle and 206 Zulu,160
,Complete,Special Event,Commercial,,American Express Game Day Event,S15SE378,09/27/2015 12:00:00 AM,09/27/2015 12:00:00 AM,,Occidential Park,2,West,Momentum Worldwide,1100
,Complete,Special Event,Community,,Bite of Broadview,S15SE292,09/25/2015 12:00:00 AM,09/27/2015 12:00:00 AM,,Broadview / Bitter Lake,5,North,Christ the King Catholic Church,1990
,Complete,Special Event,Commercial,,CBS Radio Hometown Hangar (9.27),S15SE275,09/27/2015 12:00:00 AM,09/27/2015 12:00:00 AM,,Duwamish / SODO,2,South,CBS Seattle,770
,Complete,Special Event,Commercial,,Fuel Outdoor Beer Garden (9.27),S15SE382,09/27/2015 12:00:00 AM,09/27/2015 12:00:00 AM,,Pioneer Square,7,West,Fuel Sports Eats and Beats,420
,Complete,Special Event,Free Speech,,Mass of the Holy Spirit Procession,S15OC301,10/01/2015 12:00:00 AM,10/01/2015 12:00:00 AM,,Capitol Hill,3,East,Seattle University,410
,Complete,Special Event,Community,,Up Your Ave,S15OC410,10/02/2015 12:00:00 AM,10/02/2015 12:00:00 AM,,University District,4,North,The U District Partnership,1025
,Complete,Special Event,Community,,2015 Wing Luke Museum's Bruce Lee Exhibit Opening Year 2,S15OC328,10/03/2015 12:00:00 AM,10/03/2015 12:00:00 AM,,International District,2,West,Wing Luke Museum of the Asian Pacific American Experience,400
,Cancelled,Special Event,Athletic,Water,CFF4-Miler (Rowing Regatta),S15OC395,10/03/2015 12:00:00 AM,10/03/2015 12:00:00 AM,Gas Works Park,Wallingford,4,North,Seattle Pacific University Crew,450
,Complete,Special Event,Commercial,,Great Pumpkin Beer Fest,S15OC335,10/02/2015 12:00:00 AM,10/03/2015 12:00:00 AM,,Georgetown,2,South,Elysian Brewing Company,2690
,Complete,Special Event,Commercial,,Macefield Music Festival,S15OC433,10/03/2015 12:00:00 AM,10/03/2015 12:00:00 AM,,Ballard,6,North,"Macefield Music Festival, LLC",925
,Complete,Valet Parking,,,Red Carpet Valet - Fremont Foundry,S15OC453,10/03/2015 12:00:00 AM,10/03/2015 12:00:00 AM,,Fremont,6,North,Red Carpet Valet,120
,Cancelled,Special Event,Community,,1077 The End's Sounders Tailgater,S15OC194,10/04/2015 12:00:00 AM,10/04/2015 12:00:00 AM,,Duwamish / SODO,2,West,Entercome Seattle 107.7 The End,520
,Complete,Special Event,Commercial,,CBS Radio Hometown Hangar (10.4),S15OC376,10/04/2015 12:00:00 AM,10/04/2015 12:00:00 AM,,Duwamish / SODO,2,South,CBS Seattle,770
,Complete,Special Event,Free Speech,,Gasoline Processional,S15OC406,10/04/2015 12:00:00 AM,10/04/2015 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Coltura,195
,Complete,Special Event,Athletic,Run/Walk,Magnolia Run the Bluff,S15OC425,10/04/2015 12:00:00 AM,10/04/2015 12:00:00 AM,,Magnolia,7,West,"Pro-Motion Events, Inc.",825
,Complete,Special Event,Community,,Sounders FC March to the Match (10.4),S15OC109,10/04/2015 12:00:00 AM,10/04/2015 12:00:00 AM,Occidental Park,Pioneer Square,27,West,The Seattle Sounders FC,705
,Complete,Special Event,Athletic,Water,Tail of the Lake Regatta,S15OC447,10/04/2015 12:00:00 AM,10/04/2015 12:00:00 AM,,Cascade / Eastlake / South Lake Union,47,West,Holy Names Academy,950
,Cancelled,Special Event,Community,,American Express Game Day Event (10.05) - Occidental Park,S15OC436,10/05/2015 12:00:00 AM,10/05/2015 12:00:00 AM,Occidental Park,Pioneer Square,2,West,Momentum Worldwide,950
,Complete,Special Event,Commercial,,Fuel Outdoor Beer Garden (10.4-10.5),S15OC381,10/04/2015 12:00:00 AM,10/05/2015 12:00:00 AM,,Pioneer Square,7,West,Fuel Sports Eats and Beats,420
,Complete,Valet Parking,,,Red Carpet Valet - Fremont Studios,S15OC454,10/06/2015 12:00:00 AM,10/06/2015 12:00:00 AM,,Fremont,6,North,Red Carpet Valet,110
,Complete,Special Event,Free Speech,,SEIU Healthcare 1199NW Picket,S15OC471,10/07/2015 12:00:00 AM,10/07/2015 12:00:00 AM,,Lake City / Olympic Hills / Victory Heights,5,North,SEIU Healthcare 1199 NW,300
,Complete,Valet Parking,,,Butler Valet Wedding - Sinclair/Moore,S15OC475,10/10/2015 12:00:00 AM,10/10/2015 12:00:00 AM,,Downtown,7,West,Butler Valet,100
,Complete,Special Event,Community,,Double Tenth Parade & Flag Raising Celebration,S15OC428,10/10/2015 12:00:00 AM,10/10/2015 12:00:00 AM,,International District,2,West,Double Ten Celebration Preparatory Committee,350
,Complete,Special Event,Athletic,Run/Walk,Making Strides Against Breast Cancer of Seattle,S15OC202,10/10/2015 12:00:00 AM,10/10/2015 12:00:00 AM,,Queen Anne,7,West,American Cancer Society,3200
,Complete,Special Event,Community,,Seattle Greek Festival,S15OC333,10/09/2015 12:00:00 AM,10/11/2015 12:00:00 AM,,Capitol Hill,3,East,St. Demetrios Greek Orthodox Churck,4500
,Complete,Special Event,Free Speech,,Indigenous Peoples Day Celebration March,S15OC465,10/12/2015 12:00:00 AM,10/12/2015 12:00:00 AM,Westlake Park,Downtown,7,West,Canoes C/O Shannon Morrison,220
,Complete,Valet Parking,,,Butler Valet - Tavolata Restaurant,S15OC483,10/14/2015 12:00:00 AM,10/14/2015 12:00:00 AM,,Downtown,7,West,Butler Valet,50
,Complete,Special Event,Free Speech,,March Against the Trans Pacific Partnership,S15OC464,10/14/2015 12:00:00 AM,10/14/2015 12:00:00 AM,,Downtown,7,West,350 Seattle,63
,Complete,Special Event,Free Speech,,People's Climate March 2015,S15OC476,10/14/2015 12:00:00 AM,10/14/2015 12:00:00 AM,,Downtown,7,West,Greenpeace,900
,Complete,Valet Parking,,,Red Carpet Valet - Holocaust Center Seattle,S15OC474,10/14/2015 12:00:00 AM,10/14/2015 12:00:00 AM,,Belltown,7,West,Red Carpet Valet,40
,Cancelled,Special Event,Free Speech,,Seattle en apoyo al Paro Nacional Mexicano,S15OC470,10/14/2015 12:00:00 AM,10/14/2015 12:00:00 AM,,Downtown,7,West,Blanca Luthi,24
,Complete,Valet Parking,,,Red Carpet Valet - Palace Ballroom,S15OC473,10/15/2015 12:00:00 AM,10/15/2015 12:00:00 AM,,Belltown,7,West,Red Carpet Valet,20
,Complete,Special Event,Community,,UW Husky Marching Band Pre-Game Rally (10.16),S15OC420,10/16/2015 12:00:00 AM,10/16/2015 12:00:00 AM,,UW Husky Campus,4,North,University of Washington Husky Marching Band,240
,Complete,Special Event,Athletic,Run/Walk,Puget Sound Heart and Stroke Walk 2015,S15OC306,10/17/2015 12:00:00 AM,10/17/2015 12:00:00 AM,,Downtown,7,West,American Heart Association,6200
,Cancelled,Special Event,Community,,American Express Game Day Event (10.18) - Occidental Park,S15OC437,10/18/2015 12:00:00 AM,10/18/2015 12:00:00 AM,Occidental Park,Pioneer Square,2,West,Momentum Worldwide,950
,Cancelled,Special Event,Community,,American Express Game Day Event (10.18) - Pier 66,S15OC435,10/18/2015 12:00:00 AM,10/18/2015 12:00:00 AM,,Waterfront,2,West,Momentum Worldwide,950
,Complete,Special Event,Commercial,,CBS Radio Hometown Hangar (10.18),S15OC276,10/18/2015 12:00:00 AM,10/18/2015 12:00:00 AM,,Duwamish / SODO,2,South,CBS Seattle,770
,Complete,Special Event,Athletic,Run/Walk,Dawg Dash,S15OC448,10/18/2015 12:00:00 AM,10/18/2015 12:00:00 AM,,University District,4,West,"Pro-Motion Events, Inc.",2750
,Complete,Special Event,Commercial,,NFL Sponsor Appreciation Event,S15OC431,10/18/2015 12:00:00 AM,10/18/2015 12:00:00 AM,,Pioneer Square,2,South,The Traverllers Inc/National Event Pros,315
,Complete,Valet Parking,,,Red Carpet Valet - Nyhus Communications,S15OC478,10/20/2015 12:00:00 AM,10/20/2015 12:00:00 AM,,International District,2,West,Red Carpet Valet,75
,Complete,Special Event,Community,,American Outlaws March to the Match,S15OC488,10/21/2015 12:00:00 AM,10/21/2015 12:00:00 AM,,Pioneer Square,27,South,American Outlaws Tacoma,405
,Complete,Special Event,Commercial,,Fuel Outdoor Beer Garden (10.22),S15OC460,10/22/2015 12:00:00 AM,10/22/2015 12:00:00 AM,,Duwamish / SODO,7,West,Fuel Sports Eats and Beats,420
,Complete,Special Event,Free Speech,,Seattle Rally:  Stand for Safety NOW,S15OC490,10/23/2015 12:00:00 AM,10/23/2015 12:00:00 AM,,Multiple Neighborhoods,7,West,Seattle Rally:  Stand for Safety NOW,2500
,Complete,Special Event,Commercial,,"""R"" Day",S15OC462,10/24/2015 12:00:00 AM,10/24/2015 12:00:00 AM,,Duwamish / SODO,2,South,KEXP and Bold Hat Productions,1520
,Cancelled,Special Event,Athletic,Run/Walk,Light the Night,S15OC485,10/24/2015 12:00:00 AM,10/24/2015 12:00:00 AM,,Queen Anne,7,West,The Leukemia & Lymphoma Society WA/AK Chapters,1500
,Complete,Special Event,Community,,Sounders FC March to the Match (10.25),S15OC110,10/25/2015 12:00:00 AM,10/25/2015 12:00:00 AM,Occidental Park,Pioneer Square,27,West,The Seattle Sounders FC,705
,Complete,Special Event,Community,,West Seattle Harvest Festival,S15OC467,10/25/2015 12:00:00 AM,10/25/2015 12:00:00 AM,,West Seattle,1,Southwest,West Seattle Junction Association,550
,Complete,Special Event,Community,,Sounders FC March to the Match (10.28),S15OC493,10/28/2015 12:00:00 AM,10/28/2015 12:00:00 AM,Occidental Park,Pioneer Square,27,West,Seattle Sounders FC,705
,Complete,Special Event,Community,,Magnolia Village Halloween Trick or Treat,S15OC479,10/30/2015 12:00:00 AM,10/30/2015 12:00:00 AM,,Magnolia,7,West,Magnolia Chamber of Commerce,955
,Complete,Special Event,Community,,UW Husky Marching Band Pre-Game Rally (10.30),S15OC421,10/30/2015 12:00:00 AM,10/30/2015 12:00:00 AM,,UW Husky Campus,4,North,University of Washington Husky Marching Band,240
,Complete,Special Event,Community,,Boo Bash at the Beach,S15OC497,10/31/2015 12:00:00 AM,10/31/2015 12:00:00 AM,,Rainier Valley,2,South,Southeast Effective Development/SEED,3000
,Complete,Special Event,Community,,Trolloween/Trollogogo 2015,S15OC445,10/31/2015 12:00:00 AM,10/31/2015 12:00:00 AM,,Fremont,6,North,Fremont Arts Council,450
,Complete,Special Event,Community,,March to the Match (11.1),S15NO498,11/01/2015 12:00:00 AM,11/01/2015 12:00:00 AM,Occidental Park,Pioneer Square,7,West,The Seattle Sounders FC,705
,Complete,Special Event,Community,,Northwest School Upper School Open House,S15NO372,11/01/2015 12:00:00 AM,11/01/2015 12:00:00 AM,,Capitol Hill,3,East,The Northwest School,550
,Complete,Special Event,Athletic,Run/Walk,PurpleStride Puget Sound 2015,S15NO036,11/01/2015 12:00:00 AM,11/01/2015 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,Pancreatic Cancer Action Network,2700
,Complete,Valet Parking,,,Butler Valet - Institute of Biology Systems,S15NO500,11/04/2015 12:00:00 AM,11/04/2015 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Butler Valet,75
,Complete,Valet Parking,,,Red Carpet Valet - Chihuly Boathouse,S15NO489,11/06/2015 12:00:00 AM,11/06/2015 12:00:00 AM,,Wallingford,4,North,Red Carpet Valet,70
,Complete,Special Event,Commercial,,Seattle Symphony: Friday Matinees concert,S15NO469,11/06/2015 12:00:00 AM,11/06/2015 12:00:00 AM,,Downtown,7,West,Seattle Symphony/Benaroya Hall,448
,Complete,Special Event,Community,,UW Husky Marching Band Pre-Game Rally (11.06),S15NO422,11/06/2015 12:00:00 AM,11/06/2015 12:00:00 AM,,UW Husky Campus,4,North,University of Washington Husky Marching Band,240
,Complete,Valet Parking,,,The Rainier Club - James Bond Night,S15NO481,11/07/2015 12:00:00 AM,11/07/2015 12:00:00 AM,,Downtown,7,West,The Rainier Club,75
,Complete,Special Event,Athletic,Water,Head of the Lake,S15NO371,11/08/2015 12:00:00 AM,11/08/2015 12:00:00 AM,,Wallingford,34,North,Lake Washington Rowing Club,2200
,Complete,Special Event,Athletic,Run/Walk,Mustache Dache,S15NO487,11/08/2015 12:00:00 AM,11/08/2015 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,"Fizz Events, LLC",1800
,Complete,Valet Parking,,,Red Carpet Valet - Tavolata,S15NO502,11/09/2015 12:00:00 AM,11/09/2015 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,50
,Complete,Special Event,Commercial,,Spplus Event (11.10),S15NO446,11/10/2015 12:00:00 AM,11/10/2015 12:00:00 AM,,Queen Anne,7,West,Spplus,2940
,Complete,Valet Parking,,,Butler Valet - Windemere - Butch Blum Store,S15NO504,11/11/2015 12:00:00 AM,11/11/2015 12:00:00 AM,,Downtown,7,West,Butler Valet,60
,Cancelled,Special Event,Community,,American Express Game Day Event (11.15) - Occidental Park,S15NO438,11/15/2015 12:00:00 AM,11/15/2015 12:00:00 AM,Occidental Park,Pioneer Square,2,West,Momentum Worldwide,950
,Complete,Special Event,Commercial,,CBS Radio Hometown Hangar (11.15),S15NO277,11/15/2015 12:00:00 AM,11/15/2015 12:00:00 AM,,Duwamish / SODO,2,South,CBS Seattle,770
,Complete,Special Event,Commercial,,Fuel Outdoor Beer Garden (11.15),S15NO461,11/15/2015 12:00:00 AM,11/15/2015 12:00:00 AM,,Duwamish / SODO,7,West,Fuel Sports Eats and Beats,420
,Complete,Special Event,Community,,Northwest School Middle School Open House,S15NO373,11/15/2015 12:00:00 AM,11/15/2015 12:00:00 AM,,Capitol Hill,3,East,The Northwest School,660
,Complete,Special Event,Commercial,,SeaCompression 2015: Re-Evolution in Georgetown,S15NO482,11/14/2015 12:00:00 AM,11/15/2015 12:00:00 AM,,Georgetown,2,South,Ignition Northwest,980
,Complete,Valet Parking,,,Red Carpet Valet - Fremont Studios,S15NO505,11/18/2015 12:00:00 AM,11/18/2015 12:00:00 AM,,Fremont,6,North,Red Carpet Valet,100
,Complete,Valet Parking,,,Red Carpet Valet - SODO,S15NO506,11/18/2015 12:00:00 AM,11/18/2015 12:00:00 AM,,Duwamish / SODO,2,South,Red Carpet Valet,80
,Complete,Special Event,Commercial,,Seattle Symphony Open Rehearsal (11.20),S15NO503,11/20/2015 12:00:00 AM,11/20/2015 12:00:00 AM,,Downtown,7,West,Seattle Symphony,1205
,Cancelled,Special Event,Community,,American Express Game Day Event (11.22) - Occidental Park,S15NO439,11/22/2015 12:00:00 AM,11/22/2015 12:00:00 AM,Occidental Park,Pioneer Square,2,West,Momentum Worldwide,950
,Complete,Special Event,Commercial,,CBS Radio Hometown Hangar (11.22),S15NO278,11/22/2015 12:00:00 AM,11/22/2015 12:00:00 AM,,Duwamish / SODO,2,South,CBS Seattle,770
,Complete,Special Event,Athletic,Run/Walk,Green Lake Gobble,S15NO492,11/22/2015 12:00:00 AM,11/22/2015 12:00:00 AM,Greenlake Park,Green Lake,6,North,"Pro-Motion Events, Inc.",1750
,Complete,Special Event,Free Speech,,Humanitarian Crisis Peaceful Walk for Nepal,S15NO509,11/22/2015 12:00:00 AM,11/22/2015 12:00:00 AM,,Multiple Neighborhoods,37,"East, West",Nepal Seattle Society,65
,Complete,Valet Parking,,,Red Carpet Valet - Showbox Sodo,S15NO472,11/22/2015 12:00:00 AM,11/22/2015 12:00:00 AM,,Duwamish / SODO,2,South,Red Carpet Valet,125
,Complete,Special Event,Athletic,Run/Walk,Seattle Turkey Trot,S15NO348,11/26/2015 12:00:00 AM,11/26/2015 12:00:00 AM,Golden Gardens Park,Ballard,6,North,Ballard Food Bank,3600
,Complete,Special Event,Community,,27th Annual Tree Lighting Celebration,S15NO484,11/27/2015 12:00:00 AM,11/27/2015 12:00:00 AM,,Downtown,7,West,Seafair,15100
,Complete,Special Event,Citywide,,My Macy's Holiday Parade,S15NO045,11/27/2015 12:00:00 AM,11/27/2015 12:00:00 AM,,Downtown,7,West,"Macy's, Inc",23000
,Complete,Special Event,Commercial,,My Macy's Starlighting & Fireworks,S15NO044,11/27/2015 12:00:00 AM,11/27/2015 12:00:00 AM,,Downtown,7,West,"Macy's, Inc",10000
,Complete,Special Event,Community,,Magnolia Winterfest,S15NO486,11/28/2015 12:00:00 AM,11/28/2015 12:00:00 AM,,Magnolia,7,West,Magnolia Chamber of Commerce,970
,Complete,Special Event,Athletic,Run/Walk,Seattle Children's Kids Marathon 2015,S15NO350,11/28/2015 12:00:00 AM,11/28/2015 12:00:00 AM,,Queen Anne,7,West,Seattle Marathon Association,4200
,Cancelled,Special Event,Community,,American Express Game Day Event (11.29) - Occidental Park,S15NO440,11/29/2015 12:00:00 AM,11/29/2015 12:00:00 AM,Occidental Park,Pioneer Square,2,West,Momentum Worldwide,950
,Complete,Special Event,Athletic,Run/Walk,Amica Insurance Seattle Marathon 2015,S15NO351,11/29/2015 12:00:00 AM,11/29/2015 12:00:00 AM,,Queen Anne,7,West,Seattle Marathon Association,12000
,Complete,Special Event,Commercial,,CBS Radio Hometown Hangar (11.29),S15NO279,11/29/2015 12:00:00 AM,11/29/2015 12:00:00 AM,,Duwamish / SODO,2,South,CBS Seattle,770
,Complete,Valet Parking,,,Red Carpet Valet - Chihuly Boathouse (11.30),S15NO518,11/30/2015 12:00:00 AM,11/30/2015 12:00:00 AM,,Wallingford,4,North,Red Carpet Valet,90
,Complete,Valet Parking,,,Butler Valet - Private Event - Melrose Market Studios,S15DE526,12/02/2015 12:00:00 AM,12/02/2015 12:00:00 AM,,Capitol Hill,3,East,Butler Valet,60
,Complete,Valet Parking,,,Butler Valet - WA Holdings - The Ruins,S15DE527,12/02/2015 12:00:00 AM,12/02/2015 12:00:00 AM,,Capitol Hill,3,East,Butler Valet,150
,Complete,Valet Parking,,,Butler Valet - The Ruins,S15DE528,12/04/2015 12:00:00 AM,12/04/2015 12:00:00 AM,,Queen Anne,7,West,Butler Valet,100
,Complete,Special Event,Community,,Great Figgy Pudding Caroling Competition (The 29th Annual),S15DE459,12/04/2015 12:00:00 AM,12/04/2015 12:00:00 AM,West Lake Park,Downtown,7,West,Pike Market Senior Center & Food Bank,9000
,Complete,Valet Parking,,,Red Carpet Valet - Chihuly Boathouse (12.4),S15DE513,12/04/2015 12:00:00 AM,12/04/2015 12:00:00 AM,,Wallingford,4,North,Red Carpet Valet,120
,Complete,Valet Parking,,,Red Carpet Valet - Fremont Foundry (12.4),S15DE511,12/04/2015 12:00:00 AM,12/04/2015 12:00:00 AM,,Fremont,6,North,Red Carpet Valet,100
,Complete,Valet Parking,,,Red Carpet Valet - Seattle Aquarium,S15DE512,12/04/2015 12:00:00 AM,12/04/2015 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,50
,Complete,Valet Parking,,,Red Carpet Valet -Westland Distillery,S15DE510,12/04/2015 12:00:00 AM,12/04/2015 12:00:00 AM,,Duwamish / SODO,2,North,Red Carpet Valet,60
,Complete,Special Event,Community,,Alley Lights (Alley Activation Event),S15DE501,12/05/2015 12:00:00 AM,12/05/2015 12:00:00 AM,,University District,4,North,The U District Partnership,110
,Complete,Special Event,Free Speech,,Our Lady of the Americas (Guadalupe) Procession,S15DE457,12/05/2015 12:00:00 AM,12/05/2015 12:00:00 AM,,Central District,3,East,Catholic Corporation of the Archdiocese of Seattle,1060
,Complete,Special Event,Community,,West Seattle Hometown Holidays Tree Lighting Ceremony,S15DE499,12/05/2015 12:00:00 AM,12/05/2015 12:00:00 AM,,West Seattle,1,West,West Seattle Junction Association,770
,Complete,Special Event,Commercial,,Winter Beer Festival,S15DE323,12/04/2015 12:00:00 AM,12/05/2015 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,Washington Brewers Guild,3100
,Complete,Special Event,Commercial,,76 Seafair Holiday Cruise,S15DE480,12/06/2015 12:00:00 AM,12/06/2015 12:00:00 AM,,Cascade / Eastlake / South Lake Union,3467,West,Seafair Foundation,2350
,Complete,Special Event,Free Speech,,Menorah Lighting Celebration,S15DE520,12/06/2015 12:00:00 AM,12/06/2015 12:00:00 AM,,Queen Anne,7,West,Chabad of Queen Anne,40
,Complete,Valet Parking,,,Red Carpet Valet - Chihuly Boathouse (12.6),S15DE514,12/06/2015 12:00:00 AM,12/06/2015 12:00:00 AM,,Wallingford,4,North,Red Carpet Valet,75
,Complete,Special Event,Commercial,,Filson Grand Opening Celebration,S15DE517,12/09/2015 12:00:00 AM,12/09/2015 12:00:00 AM,,Duwamish / SODO,2,North,Filson,290
,Complete,Special Event,Commercial,,Bill and Melinda Gates Foundation Annual Party,S15DE495,12/10/2015 12:00:00 AM,12/10/2015 12:00:00 AM,,Fremont,6,North,Fremont Studios,330
,Complete,Valet Parking,,,Butler Valet - Gates Foundation  - Fremont Studios,S15DE531,12/10/2015 12:00:00 AM,12/10/2015 12:00:00 AM,,Fremont,6,North,Butler Valet,600
2015-12-08T00:00:00.000,Complete,Special Event,Free Speech,,Justice for Hamza,S15DE530,12/10/2015 12:00:00 AM,12/10/2015 12:00:00 AM,,Capitol Hill,3,East,Americans for Refugees and Immigrants,325
,Complete,Special Event,Free Speech,,Oromo Community Rally Against Ethiopian Government,S15DE529,12/10/2015 12:00:00 AM,12/10/2015 12:00:00 AM,Pratt Park,Downtown,7,West,Oromo Community Services of Seattle,250
,Complete,Special Event,Commercial,,The 5th Avenue Theatre Sound of Music,S15DE508,12/10/2015 12:00:00 AM,12/10/2015 12:00:00 AM,,Downtown,7,West,The 5th Avenue Theatre,2120
,Complete,Special Event,Community,,Chet Gibson Memorial Lighted Boat Parade,S15DE496,12/11/2015 12:00:00 AM,12/12/2015 12:00:00 AM,,Multiple Neighborhoods,347,"East, North, South, West",Queen City Yacht Club,75
,Cancelled,Valet Parking,,,Red Carpet Valet - 415 Westlake,S15DE522,12/12/2015 12:00:00 AM,12/12/2015 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,90
,Complete,Valet Parking,,,Red Carpet Valet - Chihuly Boathouse (12.12),S15DE515,12/12/2015 12:00:00 AM,12/12/2015 12:00:00 AM,,Wallingford,4,North,Red Carpet Valet,50
,Cancelled,Valet Parking,,,Butler Valet - Kit and Ace Shops and Other Stuff 12.13,S15DE532,12/13/2015 12:00:00 AM,12/13/2015 12:00:00 AM,,Capitol Hill,3,East,Butler Valet,25
,Complete,Special Event,Athletic,Run/Walk,Jingle Bell Run/Walk Seattle,S15DE494,12/13/2015 12:00:00 AM,12/13/2015 12:00:00 AM,Westlake Park,Downtown,1,West,Arthritis Foundation - Great West Region,10500
2015-12-15T00:00:00.000,Complete,Valet Parking,,,Butler Valet - Quality Athletics,S15DE537,12/17/2015 12:00:00 AM,12/17/2015 12:00:00 AM,,Duwamish / SODO,2,South,Butler Valet,75
